Name,SSN,Bar,License
"Damon Barrett",415-99-05,Budvar,826130-4276
"Damon Barrett",415-99-05,"The Rivoli Bar",726147-6027
"Damon Barrett",415-99-05,"Coconut Willie's Cocktail Loun",103228-2632
"Damon Bowen",232-01-09,"BANGKOK GARDEN RESTAURANT",577007-7120
"Damon Hood",723-70-00,"Pivbar Kolomenskoye",365700-4523
"Damon Hood",723-70-00,"NEW VILLAGE RESTAURANT",034706-7472
"Damon Hood",723-70-00,"HUNAN NIGHT",619242-8172
"Damon Lewis",541-90-07,"WORLD OF BEER",749156-9476
"Damon Lewis",541-90-07,"John Bull Pub",936645-6904
"Damon Lewis",541-90-07,"The Italian Job",664654-3022
"Damon Tanner",127-44-09,"Castor Club",812147-3998
"Damon Tanner",127-44-09,"Winil Wine Bar",348656-7617
"Damon Tanner",127-44-09,N-EUROMART,913546-5087
"Damon Tanner",127-44-09,"Ye Olde Mitre",379956-5316
"Damon Tanner",127-44-09,"Gecko Grill",446219-2628
"Dana Cleveland",289-58-07,"SIU'S ASIAN BISTRO",647562-0404
"Dana Dennis",284-79-06,Cabana,012286-7948
"Dana Ramirez",897-43-00,"The Camel Pub",987575-5317
"Dana Ramirez",897-43-00,"The Duke Of Argyll",452548-3394
"Dana Ramirez",897-43-00,CARAVAN,034340-6674
"Dana Ramirez",897-43-00,"CAVA RESTAURANT",727659-2461
"Dana Vasquez",705-98-05,"NORMANDIE FARM RESTAURANT",604511-6289
"Dana Vasquez",705-98-05,"TAIPEI TOKYO",147454-4051
"Dane Blankenship",661-32-09,"TARA THAI",514464-4324
"Dane Crawford",536-68-02,"FOUR U",436611-7341
"Dane Crawford",536-68-02,"OLAZZO RESTAURANT",544976-6244
"Dane Cummings",596-13-04,"BARKING MAD CAFE",173337-7970
"Dane Cummings",596-13-04,"La Fontaine de Belleville",035952-6936
"Dane Gilliam",052-60-06,"METRO CLUB",289884-2378
"Dane Gilliam",052-60-06,"CRISFIELD SEAFOOD RESTAURANT",195256-6840
"Dane Griffith",252-17-01,"RED BOWL",707445-3676
"Dane Griffith",252-17-01,"WATERSHED CAFE",668344-5222
"Dane Levy",488-24-00,"TRATTORIA SORRENTO",692127-6439
"Dane Levy",488-24-00,"Tavern U Okolitsy",302168-0412
"Dane Levy",488-24-00,"TAIPEI CAFE",083408-0624
"Dane Mcgee",514-68-01,"MOBY DICK SEAFOOD",953947-6565
"Dane Raymond",478-85-06,"ADDISU GEBEYA",659375-5835
"Dane Skinner",467-76-07,"Guns & Bears Pub",066604-4524
"Dane Skinner",467-76-07,"YEKTA KABOBI",018125-2537
"Dane Skinner",467-76-07,"TOKYO SUSHI",963932-2784
"Dane Skinner",467-76-07,"TEX'S PLACE",137395-0748
"Dane Sutton",585-75-06,"FOUR U",436611-7341
"Dane Sutton",585-75-06,"TARA THAI",514464-4324
"Dane Todd",406-86-03,Neko,097147-8367
"Dane Todd",406-86-03,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Dane Todd",406-86-03,"SOUTHLAWN RESTAURANT",558375-0236
"Dane Todd",406-86-03,"BACCHUS OF LEBANON",397549-9173
"Daniel Christensen",683-03-06,"Blue Angel",802054-2166
"Daniel Christensen",683-03-06,"BARREL & CROW",938023-9690
"Daniel Day",692-89-01,"PINEY BRANCH PUB",574707-0877
"Daniel Day",692-89-01,BECLAWS,269500-5799
"Daniel Day",692-89-01,"TARA THAI RESTAURANT",033029-0636
"Daniel Frost",565-70-03,"Bar Hemingway",573547-0154
"Daniel Frost",565-70-03,"OLNEY ALE HOUSE",103007-8750
"Daniel Frost",565-70-03,"The Bloomsbury Club Bar",032912-1156
"Daniel Giles",218-11-03,"La Mezcaleria",059219-3288
"Daniel Giles",218-11-03,"EL MARIACHI",107629-9856
"Daniel Giles",218-11-03,Tweed&Stout,443862-2740
"Daniel Giles",218-11-03,"DAD'S BEER ",987820-7241
"Daniel Giles",218-11-03,"MINERVA INDIAN CUISINE",636663-6196
"Daniel Green",846-85-00,"TRATTORIA SORRENTO",692127-6439
"Daniel Griffith",370-76-08,"EL ANDARIEGO",822937-5764
"Daniel Griffith",370-76-08,"Castor Club",812147-3998
"Daniel Griffith",370-76-08,"Winil Wine Bar",348656-7617
"Daniel Griffith",370-76-08,"Ye Olde Mitre",379956-5316
"Daniel Harris",180-86-09,Porosello,775033-0743
"Daniel Harris",180-86-09,"Satan's Whiskers",786366-9730
"Daniel Harris",180-86-09,"Beaufort Bar",934943-7856
"Daniel Harris",180-86-09,"HOT POT LEGEND",268449-3063
"Daniel Harris",180-86-09,"MAMMA LENA",287813-8268
"Daniel King",347-86-01,"THE YO YO CAFE",347113-2062
"Daniel Lane",251-44-00,VACE,798423-6294
"Daniel Lane",251-44-00,"UNPLUGGED SPORT BAR & RESTAURA",703500-7595
"Daniel Lane",251-44-00,"CHAPALA RESTAURANT",659157-0376
"Daniel Lane",251-44-00,"LONGHORN STEAKHOUSE",039890-9002
"Daniel Powell",246-17-03,"TOTAL BAR",532821-8028
"Daniel Powell",246-17-03,"Satan's Whiskers",786366-9730
"Daniel Powell",246-17-03,"Beaufort Bar",934943-7856
"Daniel Powell",246-17-03,"HOT POT LEGEND",268449-3063
"Daniel Powell",246-17-03,"MAMMA LENA",287813-8268
"Daniel Rodgers",048-39-04,"GRAPE AND GRAIN BOUTIQUE",557483-4338
"Daniel Rodgers",048-39-04,"LA FERME",978070-9847
"Daniel Ruiz",154-12-07,"J N K BEER & WINE",368909-3791
"Daniel Ruiz",154-12-07,"The Blank Club",307264-2642
"Daniel Ruiz",154-12-07,"MELLOW MUSHROOM",826547-8266
"Daniel Ruiz",154-12-07,"SHANGHAI VILLAGE",329549-8939
"Danielle Davidson",888-61-04,"Connolly Station",638134-8991
"Danielle Davidson",888-61-04,"Ulysses Pub",603310-5963
"Danielle Davidson",888-61-04,"LOS COBANOS RESTAURANT",312938-5286
"Danielle Stewart",859-56-09,"Connolly Station",638134-8991
"Danielle Stewart",859-56-09,"Ulysses Pub",603310-5963
"Danielle Stewart",859-56-09,"Kings Stores",905752-1115
"Dante Avila",683-15-08,"PIZZERIA DAMARCO",443927-4046
"Dante Emerson",790-46-03,"COUNTRY BOY CLUB",565494-6333
"Dante Emerson",790-46-03,SAMANTHA'S,065321-9717
"Dante Emerson",790-46-03,"Bar Hemingway",573547-0154
"Dante Emerson",790-46-03,"NEWS EXPRESS",615857-5438
"Dante Hays",750-71-08,"DAD'S BEER ",987820-7241
"Dante Hays",750-71-08,"OUTTA THE WAY CAFE",993879-6407
"Dante Hays",750-71-08,"MINERVA INDIAN CUISINE",636663-6196
"Dante Holman",817-08-00,"L'Ours Bar",402911-2895
"Dante Holman",817-08-00,"Genatzvale Hall",825794-2857
"Dante Owens",076-68-07,"BARKING MAD CAFE",173337-7970
"Dante Owens",076-68-07,"La Commune",273086-1339
"Dante Owens",076-68-07,"La Fontaine de Belleville",035952-6936
"Daphne Gomez",228-51-03,Candelaria,645845-0472
"Daphne Gomez",228-51-03,"Le Tr?s Particulier",432512-8710
"Daphne Harper",817-78-02,"Pivbar Kolomenskoye",365700-4523
"Daphne Harper",817-78-02,"Mandy's Apothecary Irish Pub",036932-8331
"Daphne Harper",817-78-02,"HUNAN NIGHT",619242-8172
"Daquan Blankenship",331-02-00,"TWINBROOK BAR",792185-8796
"Daquan Blankenship",331-02-00,"L’avant comptoir du marché",508969-5034
"Daquan Briggs",291-67-05,"BANGKOK GARDEN RESTAURANT",577007-7120
"Daquan Carpenter",352-80-06,"La Mezcaleria",059219-3288
"Daquan Carpenter",352-80-06,"EL MARIACHI",107629-9856
"Daquan Rose",590-68-07,"SHALOM STRICTLY KOSHER MEATS",077097-3972
"Daquan Rose",590-68-07,"Brass Monkey",704506-9023
"Dara Everett",799-39-05,"HOWARD BAR & GRILL",564383-9375
"Dara Everett",799-39-05,"LOS CHORROS RESTAURANT",637478-3600
"Dara Everett",799-39-05,"DUCK DUCK GOOSE",844789-9843
"Dara Solis",731-13-00,"Blue Angel",802054-2166
"Dara Solis",731-13-00,"BARREL & CROW",938023-9690
"Dara Solis",731-13-00,"Daly's Wine Bar",686766-4572
"Daria Potts",768-05-06,Respublika,457966-5128
"Daria Potts",768-05-06,"Tavern U Okolitsy",302168-0412
"Darius Humphrey",437-67-04,"The Camel Pub",987575-5317
"Darius Humphrey",437-67-04,"The Duke Of Argyll",452548-3394
"Darius Humphrey",437-67-04,"CAVA RESTAURANT",727659-2461
"Darius Kemp",152-06-02,"YEKTA KABOBI",018125-2537
"Darius Kemp",152-06-02,"EL PATIO",266006-4748
"Darius Kemp",152-06-02,"TOKYO SUSHI",963932-2784
"Darius Kemp",152-06-02,"TEX'S PLACE",137395-0748
"Darius Kemp",152-06-02,"BENIHANA OF TOKYO",746233-3159
"Darius Knox",383-12-06,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Darius Knox",383-12-06,"The Wigmore",785196-5934
"Darius Knox",383-12-06,"THELO GREEK GRILL",577421-5163
"Darius Mays",630-01-06,"RUSSIAN GOURMET",635427-3838
"Darius Mays",630-01-06,"LA FERME",978070-9847
"Darius Mcclure",550-08-06,"The B-Hive",159927-7181
"Darius Mcclure",550-08-06,"L’avant comptoir du marché",508969-5034
"Darius Rocha",425-11-00,"EL MARIACHI",107629-9856
"Darius Rocha",425-11-00,"DAD'S BEER ",987820-7241
"Darrel Marshall",371-58-09,SAMANTHA'S,065321-9717
"Darrel Marshall",371-58-09,"The Bloomsbury Club Bar",032912-1156
"Darryl Camacho",618-51-07,"LOS CHORROS RESTAURANT",637478-3600
"Darryl Chandler",255-20-04,"Britannia Arms",033266-5462
"Darryl Chandler",255-20-04,SAFEWAY,076279-9393
"Darryl Chandler",255-20-04,Anderdog,426308-0014
"Darryl Chandler",255-20-04,"PETER'S GRILL",567033-1627
"Darryl Chandler",255-20-04,"MIX BAR & GRILL",167553-1543
"Darryl Chandler",255-20-04,"Hedley Club",627764-8355
"Darryl Daniels",241-72-07,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Darryl Daniels",241-72-07,"CLUB 175",843001-5555
"Darryl Heath",050-07-05,"KWIK BAR & GRILL",343655-3428
"Darryl Heath",050-07-05,"WORLD OF BEER",749156-9476
"Darryl Heath",050-07-05,"The Italian Job",664654-3022
"Darryl Jarvis",101-26-08,"Podozritelnye Litsa Bar",285412-1965
"Darryl Morgan",190-09-09,"YEKTA KABOBI",018125-2537
"Darryl Morgan",190-09-09,"EL PATIO",266006-4748
"Darryl Morgan",190-09-09,"TEX'S PLACE",137395-0748
"Darryl Morse",416-11-03,"Blue Tattoo",768883-3750
"Darryl Morse",416-11-03,"Monsieur Antoine",522107-1714
"Darryl Rivas",755-10-06,"DULCINEA BAR & GRILL",155187-4140
"Darryl Rivas",755-10-06,"TAIPEI TOKYO",147454-4051
"Darryl Rojas",565-04-08,"The Backbeat",845635-3971
"Darryl Rojas",565-04-08,"EL MARIACHI",107629-9856
"Darryl Rojas",565-04-08,"OUTTA THE WAY CAFE",993879-6407
"Darryl Rojas",565-04-08,"MINERVA INDIAN CUISINE",636663-6196
"Daryl Cote",015-22-08,Porosello,775033-0743
"Daryl Cote",015-22-08,"Satan's Whiskers",786366-9730
"Daryl Cote",015-22-08,"Beaufort Bar",934943-7856
"Daryl Cote",015-22-08,"MAMMA LENA",287813-8268
"Daryl Delaney",221-38-02,"Connolly Station",638134-8991
"Daryl Delaney",221-38-02,"Ulysses Pub",603310-5963
"Daryl Delaney",221-38-02,"Kings Stores",905752-1115
"Daryl Delaney",221-38-02,"LOS COBANOS RESTAURANT",312938-5286
"Daryl Edwards",493-05-03,"KWIK BAR & GRILL",343655-3428
"Daryl Edwards",493-05-03,"WORLD OF BEER",749156-9476
"Daryl Edwards",493-05-03,"John Bull Pub",936645-6904
"Daryl Edwards",493-05-03,"Humble Grape - Battersea",289362-8384
"David Ellis",252-84-03,"Winil Wine Bar",348656-7617
"David Ellis",252-84-03,N-EUROMART,913546-5087
"David Ellis",252-84-03,"Molly Gwynn's",408783-4273
"David Ellis",252-84-03,"Ye Olde Mitre",379956-5316
"David Kinney",689-39-08,"MAMMA LUCIA",825954-1152
"David Kinney",689-39-08,"The Shark and Rose",385233-3057
"David Kinney",689-39-08,"WHEATON WINERY",426942-2970
"David Kinney",689-39-08,"POSITANO RISTORANTE ITALIANO",784026-4704
"David Luna",403-68-04,"KINGSVIEW CLUB",047272-1463
"David Luna",403-68-04,"SEOULFOOD DC",328119-7933
"David Luna",403-68-04,"Giza Hookah Lounge",309407-2687
"David Reynolds",400-21-02,CLYDE'S,098193-2403
"David Reynolds",400-21-02,"THE BARKING DOG",953633-2746
"David Reynolds",400-21-02,"The Bar at The Dorchester",137269-3752
"Davis Barlow",560-50-07,SAMOVAR,569005-3193
"Davis Buckley",154-31-06,"The Duke Of Argyll",452548-3394
"Davis Buckley",154-31-06,CARAVAN,034340-6674
"Davis Randolph",736-04-00,"Belowzero Ice Bar",679007-3636
"Davis Randolph",736-04-00,"RED BOWL",707445-3676
"Davis Randolph",736-04-00,"WATERSHED CAFE",668344-5222
"Davis Randolph",736-04-00,"The Chandos Arms",072616-5319
"Davis Tillman",898-55-03,CANOPY,993738-4536
"Deacon Cantu",130-17-01,"BARKING MAD CAFE",173337-7970
"Deacon Cantu",130-17-01,"La Fontaine de Belleville",035952-6936
"Deacon Cantu",130-17-01,CANOPY,993738-4536
"Deacon Mcleod",004-93-05,EGGSPECTATION,459940-2189
"Deacon Mcleod",004-93-05,"Genatzvale Hall",825794-2857
"Deacon Olson",126-09-07,"John Bull Pub",936645-6904
"Deacon Olson",126-09-07,"The Italian Job",664654-3022
"Dean Alvarado",423-57-04,"KINGSVIEW CLUB",047272-1463
"Dean Alvarado",423-57-04,"Giza Hookah Lounge",309407-2687
"Dean Kim",193-61-07,BECLAWS,269500-5799
"Dean Kim",193-61-07,"TARA THAI RESTAURANT",033029-0636
"Deanna Calhoun",170-38-02,"CANA BEER & WINE",192695-6895
"Deanna Wilson",860-30-05,"AY! JALISCO II",622517-0445
"Deanna Wilson",860-30-05,"Le Sherry Butt",024478-0706
"Deanna Wilson",860-30-05,"AY! JALISCO",139198-2533
"Deborah Conway",558-93-06,"TWINBROOK BAR",792185-8796
"Deborah Conway",558-93-06,"L’avant comptoir du marché",508969-5034
"Deborah Conway",558-93-06,"Les Trois 8",066016-1696
"Deborah Delgado",041-88-02,"The Blank Club",307264-2642
"Deborah Delgado",041-88-02,"MELLOW MUSHROOM",826547-8266
"Deborah Dodson",395-37-02,"PIZZERIA DAMARCO",443927-4046
"Deborah Dodson",395-37-02,"BANGKOK GARDEN RESTAURANT",577007-7120
"Deborah Hendricks",596-55-05,"THE GREENE TURTLE-Az",272426-2650
"Debra Cohen",318-16-01,"TACO BAR",417478-9703
"Debra Cohen",318-16-01,"THE YO YO CAFE",347113-2062
"Debra Cohen",318-16-01,"En Vrac",065245-1634
"Debra Franco",192-91-08,"La Fontaine de Belleville",035952-6936
"Debra Nunez",849-33-06,"PASSION FISH",994587-9188
"Debra Reed",768-86-00,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Debra Reed",768-86-00,"The Wigmore",785196-5934
"Debra Sampson",128-05-04,"TOTAL BAR",532821-8028
"Debra Sampson",128-05-04,"Satan's Whiskers",786366-9730
"Debra Sampson",128-05-04,"Beaufort Bar",934943-7856
"Declan Cash",104-54-01,"PINEY BRANCH PUB",574707-0877
"Declan Cash",104-54-01,BECLAWS,269500-5799
"Declan Cash",104-54-01,"EVA LOUNGE",243206-3382
"Declan Cleveland",532-10-02,"THE GREENE TURTLE-Az",272426-2650
"Declan Cleveland",532-10-02,"CANA BEER & WINE",192695-6895
"Declan Gallegos",630-75-05,"CANA BEER & WINE",192695-6895
"Declan Joyner",522-17-08,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Declan Landry",195-24-01,"PASSION FISH",994587-9188
"Declan Landry",195-24-01,Candelaria,645845-0472
"Declan Landry",195-24-01,"Le Tr?s Particulier",432512-8710
"Declan Landry",195-24-01,"CHEESESTEAK MIKE'S",214195-2529
"Declan Mckay",172-61-00,"KINGSVIEW CLUB",047272-1463
"Declan Mckay",172-61-00,"TAKOMA PARK PUB",562552-4672
"Declan Nash",373-19-05,"BOCA BOTANA'S",633641-0946
"Declan Nash",373-19-05,"KOREAN KORNER",252115-9828
"Declan Nash",373-19-05,"TASTE OF EUROPE",383254-4286
"Declan Nash",373-19-05,"MRS. K'S TOLL HOUSE",204463-2632
"Declan Nash",373-19-05,"THAI TASTE",393201-0154
"Declan Nash",373-19-05,SASUNS,239755-5612
"Declan Snider",795-92-08,"SIU'S ASIAN BISTRO",647562-0404
"Declan Snider",795-92-08,"The Ship and Whale",986328-7539
"Deirdre Bennett",147-71-01,"SPRING BEER HOUSE",556027-9498
"Deirdre Bennett",147-71-01,"KINGSVIEW CLUB",047272-1463
"Deirdre Bennett",147-71-01,Bruxelles,935080-2824
"Deirdre Bennett",147-71-01,"TAKOMA PARK PUB",562552-4672
"Deirdre Bennett",147-71-01,BALDUCCI'S,189932-3255
"Deirdre Bennett",147-71-01,"SEOULFOOD DC",328119-7933
"Deirdre Gomez",265-90-01,"TARA THAI RESTAURANT",033029-0636
"Deirdre James",708-67-03,"HOP N GRAPE",197460-5337
"Deirdre James",708-67-03,"The DrumLeyton",855299-2110
"Deirdre James",708-67-03,"MIDDLE EAST CUISINE",682135-2579
"Deirdre Middleton",074-81-02,BECLAWS,269500-5799
"Deirdre Middleton",074-81-02,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Delilah Zimmerman",666-32-07,"SPRING BEER HOUSE",556027-9498
"Delilah Zimmerman",666-32-07,"TAKOMA PARK PUB",562552-4672
"Delilah Zimmerman",666-32-07,"SEOULFOOD DC",328119-7933
"Demetria Jensen",206-52-00,"FINNEGAN'S WAKE IRISH PUB",267320-6500
"Demetria Jensen",206-52-00,"STAINED GLASS PUB",033215-5373
"Demetria Jensen",206-52-00,"The Wigmore",785196-5934
"Demetria Jensen",206-52-00,"THELO GREEK GRILL",577421-5163
"Demetria Jensen",206-52-00,"CLUB 175",843001-5555
"Demetria Kidd",366-33-03,"LONGHORN STEAKHOUSE",039890-9002
"Demetria Lee",242-05-06,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Demetria Lee",242-05-06,"The DrumLeyton",855299-2110
"Demetria Lee",242-05-06,"MIDDLE EAST CUISINE",682135-2579
"Demetria Randall",850-70-06,"Le Mary Céleste",498082-1021
"Demetria Randall",850-70-06,"SOL AZTECA RESTAURANT",844222-4211
"Demetria Randall",850-70-06,"THE GREENE TURTLE-Ab",806320-3064
"Demetria Randall",850-70-06,"AJI-NIPPON RESTAURANT",102739-1075
"Demetria Rasmussen",375-31-08,"GOURMET PUB",238323-5054
"Demetrius Cobb",709-11-00,"TASTE OF EUROPE",383254-4286
"Demetrius Murphy",752-44-03,"TOTAL BAR",532821-8028
"Demetrius Snyder",729-22-01,"PASSION FISH",994587-9188
"Demetrius Stein",602-73-01,"Chez Ammad",195979-2548
"Demetrius Stein",602-73-01,"ARIA BAR & GRILL",705071-9785
"Demetrius Stein",602-73-01,"PETERS CARRY OUT",825935-7435
"Demetrius Stein",602-73-01,"THE QUARRY HOUSE TAVERN",906351-1597
"Demetrius White",518-86-00,"A.P. Stump's",MA12347
"Demetrius White",518-86-00,"ATTMAN'S BAR & GRILL",548813-2340
"Demetrius White",518-86-00,"The Ship and Whale",986328-7539
"Denise Barrett",180-33-05,"BARKING MAD CAFE",173337-7970
"Denise Barrett",180-33-05,"La Fontaine de Belleville",035952-6936
"Denise Wright",437-42-02,Budvar,826130-4276
"Denise Wright",437-42-02,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Denise Wright",437-42-02,"Coconut Willie's Cocktail Loun",103228-2632
"Dennis Bolton",428-96-05,"SENOR TEQUILA'S",744864-1998
"Dennis Bolton",428-96-05,"Chez Ammad",195979-2548
"Dennis Bolton",428-96-05,"PETERS CARRY OUT",825935-7435
"Dennis Bolton",428-96-05,CUBANO'S,284560-8641
"Dennis Bolton",428-96-05,"THE QUARRY HOUSE TAVERN",906351-1597
"Dennis Grimes",240-51-09,"EL PATIO",266006-4748
"Dennis Grimes",240-51-09,"TOKYO SUSHI",963932-2784
"Dennis Grimes",240-51-09,"TEX'S PLACE",137395-0748
"Dennis Nixon",677-77-01,"GOLF ULTRA LOUNGE",008054-3713
"Dennis Nixon",677-77-01,"OLAZZO RESTAURANT",544976-6244
"Dennis Powers",195-21-03,"FOREST GLEN PUB",724454-6920
"Dennis Powers",195-21-03,"DUCK DUCK GOOSE",844789-9843
"Dennis Powers",195-21-03,"SANTO POLLO ",348034-4278
"Dennis Whitehead",783-16-04,"JO'S BEER-WINE",422040-9934
"Dennis Whitehead",783-16-04,"The Camel Pub",987575-5317
"Dennis Wilder",139-44-06,"ARMAND'S PIZZERIA & GRILLE",506492-2536
"Denton Holland",741-72-02,"STAINED GLASS PUB",033215-5373
"Denton Holland",741-72-02,"CLUB 175",843001-5555
"Denton Mccullough",314-99-08,SAMANTHA'S,065321-9717
"Denton Mccullough",314-99-08,"Bar Hemingway",573547-0154
"Denton Mccullough",314-99-08,"NEWS EXPRESS",615857-5438
"Denton Murray",850-93-06,"Seven Bamboo",759258-8235
"Denton Murray",850-93-06,"Bar Neon Monkey",829829-6701
"Denton Murray",850-93-06,"HOP N GRAPE",197460-5337
"Denton Murray",850-93-06,"The DrumLeyton",855299-2110
"Denton Murray",850-93-06,"MIDDLE EAST CUISINE",682135-2579
"Derek Cline",856-84-08,"PERUVIAN COUNTRY CHICKEN & BEE",443434-1709
"Derek Cline",856-84-08,SHANGRI'LA,392381-3350
"Derek Cline",856-84-08,Eulipia,836692-8532
"Derek Davis",282-39-05,"KOREAN KORNER",252115-9828
"Derek Davis",282-39-05,"TASTE OF EUROPE",383254-4286
"Derek Davis",282-39-05,"THAI TASTE",393201-0154
"Derek Humphrey",143-89-03,"OLAZZO RESTAURANT",544976-6244
"Derek Levine",282-66-05,Vermuteria,196332-2001
"Derek Levine",282-66-05,"Lord John Russell Pub",804154-3375
"Derek Levine",282-66-05,"PETER CHANG'S CHINA BISTRO",578989-6023
"Derek Shaffer",381-69-03,"DULCINEA BAR & GRILL",155187-4140
"Derek Shaffer",381-69-03,"NORMANDIE FARM RESTAURANT",604511-6289
"Derek Shaffer",381-69-03,"TAIPEI TOKYO",147454-4051
"Derek Stuart",003-81-05,"TACO BAR",417478-9703
"Derek Stuart",003-81-05,"PARTY TIME LOUNGE",513075-0960
"Derek Stuart",003-81-05,"THE YO YO CAFE",347113-2062
"Derek Vazquez",841-69-02,Respublika,457966-5128
"Derek Vazquez",841-69-02,"Tavern U Okolitsy",302168-0412
"Derek Vazquez",841-69-02,"TAIPEI CAFE",083408-0624
"Desirae Best",785-84-09,"Beertep Craft Pub",052726-7009
"Desirae Best",785-84-09,"CHAPALA RESTAURANT",659157-0376
"Desirae Best",785-84-09,"LONGHORN STEAKHOUSE",039890-9002
"Desirae Foster",818-79-04,"Belowzero Ice Bar",679007-3636
"Desirae Foster",818-79-04,"The Coral Room",336670-1716
"Desirae Foster",818-79-04,"WATERSHED CAFE",668344-5222
"Desirae Grimes",167-56-03,"YEKTA KABOBI",018125-2537
"Desirae Kirby",599-51-05,"JO'S BEER-WINE",422040-9934
"Desirae Kirby",599-51-05,CARAVAN,034340-6674
"Desirae Pratt",662-16-06,"Le Syndicat",555889-1650
"Desirae Pratt",662-16-06,"HANARO RESTAURANT AND LOUNGE",367303-7044
"Desirae Pratt",662-16-06,"Bar Neon Monkey",829829-6701
"Desirae Pratt",662-16-06,"HOP N GRAPE",197460-5337
"Desirae Pratt",662-16-06,"MIDDLE EAST CUISINE",682135-2579
"Desirae Witt",047-78-03,"Il Fornaio",698268-4422
"Desirae Witt",047-78-03,"Monsieur Antoine",522107-1714
"Desirae Witt",047-78-03,"CRISTINA'S ITALIAN RISTORANTE",944800-8871
"Desiree Carver",367-98-03,"TWINBROOK BAR",792185-8796
"Desiree Carver",367-98-03,"L’avant comptoir du marché",508969-5034
"Desiree Griffin",254-90-09,"ADDISU GEBEYA",659375-5835
"Desiree Griffin",254-90-09,"Belgian Pub BeerHouse",416665-7371
"Desiree Griffin",254-90-09,"St. George's Tavern",922270-1568
"Desiree Griffin",254-90-09,"THAI AT SILVER SPRING",887258-6824
"Desiree Moon",801-66-02,"The B-Hive",159927-7181
"Desiree Moon",801-66-02,"L’avant comptoir du marché",508969-5034
"Destiny Douglas",146-31-02,"Mandy's Apothecary Irish Pub",036932-8331
"Destiny Douglas",146-31-02,Cabana,012286-7948
"Destiny Douglas",146-31-02,"NEW VILLAGE RESTAURANT",034706-7472
"Destiny Sargent",202-38-03,"GOLF ULTRA LOUNGE",008054-3713
"Destiny Sargent",202-38-03,"FOUR U",436611-7341
"Destiny Sargent",202-38-03,"BETHESDA CRAB HOUSE",789601-4995
"Devin Bishop",482-74-03,"LA MADELEINE",027174-2033
"Devin Cherry",560-32-02,"EVA LOUNGE",243206-3382
"Devin Cherry",560-32-02,"EL SOL SALVADOREAN & MEXICAN R",519829-9801
"Devin Herman",618-18-04,"COUNTRY BOY CLUB",565494-6333
"Devin Herman",618-18-04,SAMANTHA'S,065321-9717
"Devin Herman",618-18-04,"Bar Hemingway",573547-0154
"Devin Herman",618-18-04,"NEWS EXPRESS",615857-5438
"Devin Herman",618-18-04,"The Bloomsbury Club Bar",032912-1156
"Devin Park",424-24-03,"Pivbar Kolomenskoye",365700-4523
"Devin Rose",632-31-01,"Mandy's Apothecary Irish Pub",036932-8331
"Dexter Brown",533-21-02,"LOCK 72 KITCHEN & BAR",797572-9430
"Dexter Brown",533-21-02,Vermuteria,196332-2001
"Dexter Brown",533-21-02,"Lord John Russell Pub",804154-3375
"Dexter Brown",533-21-02,"OLD TOWN POUR HOUSE",722716-4519
